index,요리이름,칼로리,탄수화물,단백질,지질,나트륨,콜레스테롤,식이섬유,칼슘,비타민c,당류
1,갈릭 난 ,23.5,22.9,29.4,18.3,32.2,1.4,14.4,13.1,3.1,0.0
2,양배추롤,17.8,4.8,46.2,40.2,31.7,59.3,3.1,6.4,7.4,0.0
3,태국식 홍합찜,23.1,6.3,49.6,60.1,44.5,42.0,11.6,27.7,19.3,0.0
5,북경오리구이,183.5,2.8,82.0,150.1,24.3,81.7,5.6,10.2,12.4,8.5
7,바질페스토,29.3,2.1,20.3,113.2,15.2,5.2,8.4,32.3,12.6,0.0
9,마멀레이드,3.8,5.9,0.2,0.0,7.8,0.0,0.9,0.8,5.8,0.0
10,썬드라이드 토마토,1.7,1.7,2.8,2.4,3.8,0.0,5.4,2.1,21.0,0.0
11,데리야끼 치킨,22.8,12.5,55.6,31.5,75.7,37.5,0.8,3.7,4.9,0.0
12,돼지고기 두반장 볶음,16.2,8.5,33.9,31.3,23.1,15.3,35.6,13.7,111.4,0.0
14,게살브로콜리,17.7,9.6,65.4,24.4,46.7,207.9,35.2,51.9,268.9,0.0
15,마파두부덥밥,48.6,17.8,97.5,115.5,79.3,36.2,32.5,46.5,5.5,0.0
16,니쿠자가,19.6,19.3,36.4,15.6,71.5,17.8,34.0,16.7,47.5,0.0
17,튜나 캐서롤,24.7,21.9,46.2,26.5,27.2,13.3,41.2,23.6,164.8,0.0
18,통삼겹오븐구이,32.7,11.4,46.5,89.9,27.3,23.1,27.2,10.7,36.9,0.0
19,엔젤 부리또,38.3,14.6,42.3,110.3,35.5,134.7,43.6,28.1,158.3,1.2
20,시저 샐러드,36.4,0.9,65.4,95.0,34.9,140.9,0.5,21.9,4.8,0.0
21,감자 & 베이컨 샐러드,55.9,26.6,86.0,79.0,67.3,241.7,33.0,21.9,193.4,2.1
22,냉이 파스타,27.9,23.9,30.6,34.5,13.9,6.5,17.8,8.9,14.0,0.0
23,땅콩수프,171.6,61.9,384.4,399.7,265.6,282.9,238.1,103.6,415.6,0.0
24,김치찜,19.6,9.2,48.1,48.9,363.7,28.2,77.7,46.9,93.8,0.0
27,해물 빠에야,54.4,31.1,170.7,42.6,154.0,173.8,34.9,118.1,41.8,1.7
28,쌀국수,32.3,36.0,101.3,28.7,208.8,86.7,39.8,159.1,12.6,0.0
29,날치알 떡볶이,43.5,49.1,56.5,24.6,103.6,112.3,51.1,35.1,96.9,0.0
30,비빔국수,43.6,49.0,49.3,24.6,208.9,99.8,37.7,25.9,55.2,0.0
31,콘치즈,30.7,11.6,43.3,59.8,61.3,33.0,10.6,76.0,10.6,0.0
32,등갈비찜,26.9,16.6,61.1,42.8,6.7,34.5,19.0,6.9,24.8,17.6
33,일본라멘,46.5,23.0,63.8,98.6,67.9,118.9,15.8,23.0,1.2,0.0
34,고구마 맛탕,27.7,42.1,5.1,1.2,2.0,0.0,18.4,17.8,50.0,0.0
35,목살스테이크,71.5,16.0,136.0,127.0,184.9,73.6,19.3,27.4,64.0,11.3
36,식빵 러스크,22.2,16.6,16.3,41.3,3.3,5.0,17.3,4.9,0.6,0.0
37,고추잡채,42.4,6.4,45.6,102.7,51.8,121.8,19.1,8.8,181.3,0.0
38,갈치조림,25.2,23.5,60.3,21.2,83.8,31.0,46.5,25.4,67.6,0.0
39,두부젓국찌개,16.5,6.3,69.7,26.9,56.7,35.3,45.9,69.1,24.5,0.0
40,메밀비빔국수,32.8,32.5,39.4,37.7,137.8,0.0,45.2,38.0,60.0,0.0
41,찐빵,17.8,23.3,21.3,0.8,15.4,0.0,30.9,7.4,9.6,0.3
42,닭한마리 칼국수,46.2,13.3,155.1,86.3,150.4,100.0,31.0,20.7,54.4,0.0
43,대구지리탕,7.9,1.3,54.2,3.9,63.5,43.1,7.2,22.9,11.3,0.0
44,감자 그라탕,32.3,18.6,49.5,43.4,67.5,30.0,12.1,82.7,60.5,0.3
45,치킨스테이크,65.4,7.6,98.0,163.4,77.5,69.0,17.7,13.5,36.7,4.2
46,골뱅이소면무침,25.3,24.5,44.9,17.6,141.3,38.0,22.2,12.0,42.2,0.0
47,치즈피쉬스틱,31.4,2.9,21.5,13.0,24.1,16.4,0.3,39.8,0.0,0.0
48,꽈리고추 감자조림,4.7,5.4,5.1,3.5,36.7,0.0,4.6,1.1,24.5,0.0
49,크림스파게티,77.7,29.7,64.4,206.5,81.6,106.1,20.2,51.0,18.1,1.0
50,치킨스낵랩,92.4,45.8,147.2,200.0,112.8,100.1,70.2,40.0,24.8,2.5
51,수육,29.7,5.6,54.5,89.3,120.8,28.3,21.1,13.6,35.8,0.0
52,로제파스타,47.7,28.6,35.6,105.5,90.0,33.3,30.1,15.1,23.1,0.0
53,차돌박이 숙주볶음,24.7,4.3,67.9,61.9,92.2,25.5,15.1,7.9,18.0,7.4
54,가츠동,43.7,34.9,71.0,61.8,160.0,111.3,30.4,12.7,13.7,9.8
55,부추전,27.8,10.5,36.6,71.7,33.3,18.8,7.4,3.3,13.1,0.0
56,해물 하이라이스,41.9,26.5,130.2,36.2,78.6,157.4,8.8,82.0,16.4,1.0
59,고추짜장면,30.4,30.9,31.3,27.1,117.9,0.3,30.3,14.2,24.9,0.0
62,짜투리타타,35.9,7.9,79.7,55.7,43.2,412.0,28.6,20.3,94.4,0.0
63,또띠아꿀피자,45.3,24.4,81.9,50.9,77.0,52.1,21.2,144.2,7.6,1.2
67,알리오올리고,54.8,30.2,43.3,134.0,46.7,5.2,54.4,40.4,32.9,7.8
71,계란말이 ,14.1,2.3,28.1,41.0,40.0,199.6,4.3,10.6,5.8,0.0
72,스테이크 덮밥,16.2,11.4,37.7,20.7,23.0,21.3,1.9,2.6,0.1,0.0
73,봄동 겉절이,11.5,14.7,23.9,9.3,44.9,6.7,72.9,59.1,447.8,0.0
74,알탕,10.3,2.8,55.3,10.5,51.6,55.1,19.2,41.8,23.9,0.0
75,순두부찌개,13.2,2.6,45.4,32.9,26.0,99.8,22.2,30.5,21.1,0.0
76,토마토소스김치스파게티,29.2,25.7,35.8,10.4,71.6,7.9,25.7,7.8,23.3,0.0
77,마파두부,34.0,12.8,59.3,74.3,66.5,33.6,36.9,39.0,35.2,0.0
78,치킨데리야끼,24.2,11.4,96.1,19.0,99.2,66.7,1.0,6.6,9.9,0.0
79,오징어 간장 조림,11.3,3.8,67.6,4.8,102.8,133.8,6.0,8.9,15.3,0.0
84,고추장 훈제오리김밥,31.6,24.4,56.8,44.3,76.9,14.8,11.8,19.7,10.7,2.3
86,계란후라이,11.9,1.1,27.2,34.2,17.2,199.5,0.4,8.5,0.2,0.0
87,애호박전,11.2,7.4,8.7,25.2,29.0,9.9,7.1,18.8,16.0,0.0
88,닭볶음탕,37.1,12.1,119.6,67.7,99.4,79.7,25.6,13.5,35.7,0.0
90,시래기 청국장,5.2,0.7,18.8,11.3,13.2,43.9,3.8,8.5,4.2,0.0
93,돼지불고기,17.8,5.1,53.9,36.8,159.4,30.2,11.2,6.3,8.7,2.3
94,규동,26.1,27.8,44.6,17.6,64.8,14.3,12.2,15.3,18.3,0.0
95,샤브샤브,29.8,17.5,82.6,44.0,170.6,59.5,40.8,34.8,10.6,0.0
98,톳두부무침,2.6,1.2,11.1,6.0,32.8,0.8,9.3,20.8,2.4,0.0
99,방풍나물무침,2.9,3.1,2.7,3.8,18.5,0.0,5.7,4.6,7.8,0.0
100,소세지 콘감자 크로켓,21.2,16.9,46.3,23.9,19.0,63.3,17.8,5.6,37.1,0.0
101,굴무침,2.6,1.5,2.4,7.5,0.7,0.0,6.5,5.0,3.5,0.0
103,까르보나라,64.1,27.9,53.9,128.6,32.0,119.5,16.3,31.1,13.0,0.0
104,길거리토스트,33.5,26.1,43.2,51.4,24.8,124.0,30.2,26.1,19.1,0.0
106,들깨북어미역국,4.2,0.5,1.9,16.5,21.6,0.0,1.0,7.4,0.0,0.0
113,골뱅이찌게,14.1,8.2,55.6,15.5,67.9,40.8,28.7,46.4,32.6,0.0
114,도토리묵 무침,26.5,29.3,18.1,32.2,69.1,0.0,103.1,17.1,520.9,0.0
117,스팸마요덮밥,25.1,7.9,19.6,11.1,75.7,100.1,13.6,9.9,12.6,9.4
121,까망베르치즈 피자,38.9,4.9,29.5,22.9,33.0,19.6,9.5,48.7,4.1,0.1
122,연어샐러드,35.0,21.1,17.3,85.4,81.3,9.7,7.8,5.7,14.3,20.7
123,코다리조림,6.3,7.5,11.0,2.5,42.9,3.9,28.1,7.4,39.8,0.0
127,매운닭발 숯불구이,49.0,4.2,69.0,137.2,58.0,82.5,15.8,9.7,14.7,0.0
128,고기완자전,21.1,12.0,48.0,32.5,11.2,86.6,3.2,7.1,4.9,0.0
133,두부스테이크,16.9,14.6,37.0,18.5,81.7,27.4,23.4,27.1,6.4,0.0
134,메추리알 소고기 장조림 ,14.7,4.7,38.8,31.1,16.2,177.0,7.5,11.7,9.2,0.0
146,홍합 토마토 푸질리 스튜,21.7,24.8,41.1,2.5,20.7,20.5,29.2,12.8,50.2,0.0
147,아삭이 가지 고추 물김치,1.9,2.6,2.8,0.5,19.0,0.0,18.4,6.0,41.7,0.0
148,야채 계란찜 프리타타,32.2,8.8,54.3,62.1,38.2,226.5,13.5,33.3,28.4,0.0
149,바케트 계란빵,5.5,0.3,8.3,15.8,8.3,55.9,0.1,2.3,0.1,0.0
150,매운족발볶음,7.3,7.7,5.5,9.0,44.3,0.0,22.1,2.9,22.7,9.4
151,돼지고기 김치찌개,30.2,3.1,111.9,63.6,20.4,60.0,5.0,6.3,1.5,0.0
155,짜장떡볶이,22.7,20.0,37.9,26.6,90.7,92.2,25.8,15.7,16.7,14.8
156,귤청,21.6,34.1,1.7,0.2,41.1,0.0,3.9,65.5,46.1,0.0
158,베이컨갈릭 콘치즈,16.9,13.4,18.9,11.1,39.9,6.3,22.2,3.4,125.3,0.0
160,돼지고기 묵은지 김치찜,19.6,10.2,68.5,31.0,278.5,51.7,56.4,34.0,65.0,0.0
161,날치알 계란 덮밥,29.0,25.9,36.2,39.7,173.2,106.1,10.8,10.6,9.1,0.0
163,레드벨벳 컵케이크,42.0,29.6,18.1,93.6,36.2,75.6,3.5,34.3,0.1,0.0
166,충무김밥,29.6,16.6,122.9,22.6,96.0,250.8,23.9,32.6,10.5,0.0
167,굴소스 파스타,25.6,25.1,24.9,29.8,212.9,4.9,49.0,17.5,16.3,0.0
168,단호박 양갱,31.0,42.3,18.6,11.6,10.4,0.0,39.7,11.7,30.0,199.6
169,돼지등뼈 김치찜,20.9,12.2,32.0,8.9,486.4,0.0,104.7,56.7,119.3,0.0
170,통밀 바나나 잣 빵,27.3,26.4,28.2,30.4,12.6,0.1,46.2,25.3,4.8,2.2
173,오지치즈후라이,15.5,10.0,30.1,14.3,27.9,17.4,7.8,42.6,46.8,0.0
175,베이컨 치즈 주먹밥구이,62.1,30.1,95.0,55.4,140.0,60.1,15.5,108.0,15.9,0.0
177,떡꼬치,63.1,85.2,37.4,8.9,65.8,0.0,32.0,3.9,4.8,17.6
182,오징어 버터구이,10.6,0.0,55.6,18.1,23.0,131.9,0.0,14.1,0.7,0.0
183,쇼콜라 케이크,15.0,9.8,13.5,36.3,9.5,69.4,3.3,10.4,0.2,0.0
184,치킨룰라드,28.8,4.2,81.2,45.5,32.2,50.0,8.1,4.3,23.0,0.0
188,컵케이크,19.8,16.9,21.2,32.3,13.5,100.3,2.6,24.4,0.5,0.0
189,녹차 머핀,11.2,10.3,7.4,15.9,7.5,23.4,4.6,10.1,1.7,2.7
190,핫도그,20.1,42.5,51.8,25.4,88.8,4.1,23.4,76.3,8.7,31.2
191,문어산적,11.1,8.6,29.1,9.9,77.8,21.7,0.8,3.2,0.0,0.0
192,닭불고기,21.4,14.7,74.9,16.5,150.0,42.7,27.3,21.4,63.5,0.0
193,마늘 크루통,28.6,25.9,28.0,38.0,14.1,19.2,22.1,15.5,2.0,0.0
194,햄 치즈 카나페,9.4,3.7,15.2,23.7,25.6,9.0,3.8,32.9,8.6,1.3
195,부추 오징어 부침개,13.9,2.2,77.5,14.8,20.9,233.7,9.9,11.8,23.1,0.0
197,크레이프 케이크,47.2,25.3,46.1,108.1,18.6,216.8,5.6,41.3,1.8,0.0
198,팬피자,9.3,6.8,21.4,11.3,15.0,100.8,9.1,10.0,25.4,0.0
199,돼지고기 보쌈,36.0,4.0,67.1,112.2,16.6,36.9,6.0,5.8,8.8,0.0
200,오징어 초무침,13.9,12.1,46.8,4.6,28.8,89.4,18.5,8.8,22.2,0.0
202,깻잎나물,6.5,3.3,5.1,18.0,30.3,0.2,7.7,3.9,7.9,0.0
203,두부조림,19.3,6.8,62.2,39.7,60.7,149.8,36.5,50.7,20.2,0.0
204,유린기,28.1,6.7,92.2,56.3,118.6,62.5,10.6,6.0,39.5,0.0
205,홍어회무침,6.7,9.5,7.1,2.0,17.1,0.0,27.9,8.6,33.0,3.7
206,김치돼지고기 두루치기,60.0,12.3,105.3,170.8,33.4,55.5,46.8,16.9,60.0,0.0
207,아구찜,37.2,16.7,209.5,13.0,141.8,135.0,40.2,24.7,36.2,4.7
208,미니핫도그,65.1,59.9,73.3,88.4,146.2,74.7,19.0,40.7,7.4,0.0
210,깐풍골뱅이,27.0,7.9,58.0,8.6,78.3,114.5,16.8,11.7,63.4,4.7
213,황태채 구이,5.2,3.9,2.1,11.2,15.3,2.4,4.4,1.3,2.2,0.0
216,돼지목살 스테이크,17.0,4.6,50.0,24.6,48.0,44.0,3.5,4.3,6.6,0.8
219,우유식빵,20.4,22.7,27.4,7.0,23.5,2.8,10.5,12.0,0.7,0.0
220,된장 깻잎 짱아찌,3.5,3.6,7.3,2.6,48.4,0.0,12.2,10.5,5.4,0.0
222,차슈 덮밥,19.2,6.5,66.2,32.1,50.0,35.3,7.0,9.8,5.3,0.0
226,어니언딥,19.2,3.1,8.0,72.5,20.7,20.7,9.1,10.1,8.3,0.0
228,미트볼,24.4,2.8,92.2,50.8,23.2,48.8,6.2,4.5,48.0,2.3
229,소고기 카레,2.3,1.8,3.2,3.2,17.5,0.6,12.7,2.1,1.9,0.0
230,마들렌,20.2,18.5,13.7,29.5,8.0,52.8,15.5,16.8,37.5,2.3
232,닭봉구이,18.5,5.9,77.5,25.2,71.7,61.5,2.8,3.8,11.9,0.0
233,레몬머핀,28.0,22.6,17.3,51.7,19.2,57.2,15.9,28.3,101.0,0.0
236,두릅무침,6.9,2.2,27.2,15.3,15.1,10.3,22.6,24.6,12.2,0.0
238,해독주스,9.2,14.6,9.6,1.2,1.5,0.5,31.0,11.1,90.5,0.0
240,고구마 푸딩,14.6,16.7,9.9,12.8,9.5,4.0,10.6,21.9,14.5,0.0
241,초코샌드,46.9,35.9,13.0,106.1,27.9,70.7,3.4,19.2,0.6,0.0
243,떡볶이,2.3,2.3,4.8,1.1,18.5,3.1,3.2,5.2,1.1,0.0
245,찹스테이크,50.6,17.3,123.7,113.1,161.9,77.7,30.4,20.2,219.3,3.1
247,해물 떡볶이,50.8,55.8,96.2,18.6,73.8,147.1,51.3,22.5,32.8,15.2
248,가지무침,5.0,5.2,6.6,7.7,35.5,0.2,20.8,7.2,24.4,0.0
251,훈제 닭 가슴살 샐러드,5.8,0.4,35.8,5.9,3.6,60.9,0.8,2.2,3.5,0.0
252,김치볶음밥,46.7,23.6,44.3,46.5,43.6,23.7,4.4,3.6,4.0,0.0
253,쿠키 버터,28.9,18.1,13.4,69.4,19.0,37.5,1.0,29.5,2.3,0.0
254,참치 치즈토스트,12.1,7.8,26.2,17.3,17.2,9.6,6.8,32.8,0.0,0.0
255,만두 떡볶이 ,25.5,28.4,30.4,15.4,68.4,36.3,24.0,11.2,6.1,0.0
256,호박 고구마 식빵롤,26.0,31.0,23.7,14.5,5.3,7.0,28.2,8.1,27.0,0.0
257,또띠아 피자,18.7,23.8,20.3,9.1,3.6,0.1,50.4,18.0,102.4,2.5
258,치즈떡볶이,48.9,59.7,62.9,14.0,171.1,11.9,48.3,42.9,30.6,9.4
260,칠리연어 퀘사딜라,14.6,13.1,28.3,11.1,6.2,17.2,17.8,16.2,0.0,1.2
262,요거트 베리 피자,30.2,30.3,16.8,32.2,50.8,0.0,7.9,2.1,0.0,0.0
264,그릭요거트 딸기 샌드위치,22.1,29.8,25.1,5.6,16.5,0.2,90.8,17.5,14.5,11.1
266,가래떡 츄러스,25.8,35.9,13.1,2.8,15.3,0.0,16.6,4.4,2.3,0.0
267,치킨마요덮밥,28.8,9.4,78.9,59.5,32.1,185.8,15.7,13.0,9.3,9.4
268,라면버거,38.1,30.1,54.8,64.0,87.9,111.2,30.9,74.4,48.6,0.0
269,부추김치전,20.1,21.5,34.1,3.7,140.9,0.2,27.2,16.6,39.9,0.0
270,참치 샌드위치,206.0,48.9,223.0,645.4,357.7,355.5,36.1,111.1,11.0,0.0
271,국물 떡볶이,50.6,69.4,32.1,8.5,50.5,2.5,29.2,12.6,16.1,0.0
272,오징어 볶음,20.2,7.3,77.5,30.3,50.6,138.7,27.1,16.5,35.8,0.0
273,부지깽이 새우볶음,3.2,0.5,10.8,7.2,14.0,14.6,1.8,3.7,5.2,0.6
274,포테이토피자,12.7,9.6,19.8,19.1,40.5,12.6,5.1,33.4,25.4,0.0
275,볶음우동,24.7,15.2,78.2,25.5,87.5,88.3,18.8,45.0,105.0,0.0
276,멸치주먹밥,36.8,47.1,28.0,22.1,31.5,0.0,20.6,13.4,21.6,0.0
278,검은깨크래커,8.4,8.9,4.9,8.1,9.4,0.0,0.8,0.5,0.0,0.0
281,치즈 소스와 맥앤치즈,13.1,16.8,21.9,4.5,14.1,1.0,34.8,12.2,138.8,0.0
283,쫄면,51.8,49.6,51.5,25.1,101.9,99.8,52.0,25.5,19.7,0.0
284,카라멜 크루통,35.0,35.5,22.9,41.8,11.5,21.7,17.0,15.2,0.7,0.0
285,오믈렛,27.1,5.5,70.2,49.6,38.4,312.4,13.6,51.0,84.3,0.0
286,야채참치라면,67.1,69.4,37.0,39.1,6664.2,3.6,43.3,32.2,22.3,0.0
287,김치퀘사디아,9.6,10.3,7.7,6.9,1.6,0.0,19.0,8.6,1.4,1.2
290,돼지고기장조림,35.3,2.6,90.3,80.6,57.1,284.8,0.4,10.1,1.0,0.0
292,시금치프리타타,21.6,11.1,46.8,40.1,34.4,211.0,13.0,28.5,74.8,0.0
293,망고 치아시드 푸딩,12.9,16.9,4.3,6.4,0.4,0.0,19.8,14.7,30.1,2.4
295,수제딸기아이스크림,58.1,17.2,31.5,182.9,6.6,333.3,2.6,47.9,20.5,3.2
296,베리크림치즈크레이프,16.3,14.9,13.9,22.0,6.2,47.0,11.1,10.7,9.3,5.0
302,피넛오트밀쉐이크,29.5,29.3,26.4,36.8,6.8,0.0,39.7,8.2,15.0,0.0
304,날치알밥,34.1,38.7,46.8,24.3,116.7,12.9,20.6,42.6,22.9,0.0
305,스파이시 글레이즈 피칸,29.3,3.6,16.0,118.7,24.9,0.0,31.5,9.3,1.0,0.0
308,마늘땡기면,30.9,22.3,36.2,48.7,129.8,100.5,24.7,27.1,18.1,0.0
310,로스트 브로콜리 ,3.2,1.4,8.0,8.4,2.0,1.2,9.1,10.6,74.1,0.0
311,파절이,1.6,2.3,2.6,0.4,21.3,1.5,5.9,6.2,11.6,0.0
315,간단 떡볶이,30.7,38.1,32.2,7.2,91.1,3.5,12.7,10.9,3.0,0.0
317,식빵 잼 파이,23.8,22.2,27.7,23.8,32.8,52.3,18.0,8.9,0.0,0.0
318,깍두기볶음밥,13.1,14.9,14.6,10.4,10.7,6.5,5.1,1.8,4.3,0.0
319,매콤멸치 치즈김밥,7.5,2.8,23.5,13.9,24.2,46.4,6.9,36.2,0.2,2.3
320,삼겹살수육,89.4,16.0,163.8,237.4,169.3,73.3,41.6,20.1,39.2,0.0
321,대파라면,34.3,24.3,31.8,57.3,60.3,100.6,29.8,20.7,18.4,0.0
322,라면샐러드,26.8,24.7,22.4,43.7,77.8,0.8,19.1,12.5,3.9,0.0
324,기름떡볶이,23.3,29.3,14.0,9.1,28.8,0.0,10.1,1.5,0.2,2.3
327,롤케이크,11.3,12.1,5.9,11.5,2.5,5.8,2.6,0.7,0.0,0.0
328,꽈리고추 멸치볶음,15.1,5.6,39.1,33.3,18.3,55.7,33.4,112.3,73.0,0.0
330,닭볶음탕,22.2,10.3,66.6,36.1,6.1,42.1,23.0,7.4,51.0,0.0
331,떡볶이,53.8,45.7,73.6,66.3,91.7,194.9,20.2,16.6,8.9,0.0
333,불고기 깻잎 토스트,13.0,11.2,22.9,13.9,15.6,13.0,15.7,28.4,14.5,0.0
336, 크림딸기모찌,9.6,7.4,7.7,16.0,0.3,6.7,10.7,3.5,15.5,2.6
337,바게트피자토스트,147.5,142.1,176.2,89.5,290.2,26.0,112.0,37.8,34.3,2.6
338,그린빈파스타,46.3,49.5,30.9,48.8,134.8,28.5,94.6,4.5,9.2,0.0
339,밥스테이크,32.5,33.9,55.9,25.2,58.5,202.7,28.6,19.8,374.2,0.0
342,밥도그,40.6,29.2,57.4,70.0,85.7,124.6,4.8,7.6,10.4,0.0
343,달걀부추빵,58.4,36.9,73.8,112.9,42.6,210.7,38.7,20.2,36.9,0.0
344,스팸라면,29.4,22.7,30.9,47.7,111.2,100.5,21.2,20.7,11.2,0.0
347,매운홍합볶음,30.3,16.8,98.7,37.6,114.3,63.4,28.4,42.0,50.7,0.0
349,라면죽,38.0,30.8,43.5,51.7,130.3,105.5,17.5,21.0,0.0,0.0
350,아보카도 바질 페스토,15.0,4.1,24.0,47.5,17.2,5.8,25.0,37.4,35.9,0.0
351,마약김밥,13.3,18.6,13.9,3.4,11.4,0.4,16.4,6.9,47.6,0.0
352,돈까스 라면,41.1,25.7,57.3,72.2,160.5,17.0,20.5,18.1,0.0,0.0
353,블랙베리 치아씨드 잼,5.0,6.9,2.0,2.3,0.2,0.0,13.8,7.0,9.8,4.5
354,감자탕라면,14.7,12.4,12.8,20.4,58.1,0.4,12.2,3.5,23.5,0.0
355,스크램블에그 치즈라면,39.1,21.7,53.7,61.7,143.6,117.5,15.8,48.6,0.0,0.0
357,고등어김치찌개,28.5,5.7,108.6,66.4,277.6,30.7,67.3,109.7,48.2,0.0
358,베리스무디,35.2,25.4,18.2,86.8,12.3,0.0,107.6,17.7,112.6,7.9
359,홍구리라면,26.6,19.9,24.6,41.4,125.5,5.7,20.2,20.5,10.1,0.0
365,라면땅,14.7,15.7,9.6,19.3,22.5,0.3,16.6,4.0,0.0,15.0
369,츄러스,25.9,3.3,24.1,96.6,15.3,99.2,21.1,20.9,1.0,0.0
372,삼겹살김밥,50.0,21.8,76.1,121.9,5.0,36.7,8.2,5.9,10.3,0.0
382,소고기 카르파치오,12.2,0.6,34.6,28.8,58.2,14.0,2.0,38.3,8.1,0.3
383,간장새우,4.7,1.0,33.8,1.4,7.1,98.7,4.1,11.9,9.8,0.0
387,해산물 피자,42.7,42.3,81.6,25.3,27.3,87.1,80.1,56.8,69.4,5.1
389,고추페스토 치즈롤,97.9,74.1,166.5,138.5,141.5,92.8,73.3,232.4,21.5,65.0
390,부추김치전,34.2,19.1,52.1,12.9,361.5,49.9,83.8,49.5,108.1,0.0
391,파인애플볶음밥,1.5,1.3,3.4,1.8,0.3,1.4,4.4,1.5,25.9,0.0
392,배추찜,9.1,7.1,9.0,19.7,35.6,0.0,29.8,17.3,132.8,0.0
394,밤 머핀 ,10.7,9.7,8.4,14.2,5.3,25.1,2.8,8.5,0.1,0.0
396,애호박전 만들기,2.5,3.6,3.9,0.4,30.4,0.0,9.3,3.0,21.0,0.0
399,치즈 계란말이,35.5,8.0,106.8,75.2,66.4,618.5,0.0,72.8,0.0,0.0
400,프렌치 토스트 머핀 ,13.9,13.1,19.3,13.8,5.5,63.7,9.5,6.0,0.3,0.0
401,차슈덮밥,25.7,9.8,83.3,42.1,131.3,40.1,12.9,9.6,15.6,0.0
404,스캘럽트 포테이토,13.0,10.6,23.1,17.0,9.9,10.1,12.8,21.7,74.3,0.0
407,차돌박이 간장비빔국수,30.5,39.7,79.7,30.9,241.2,17.1,39.4,15.3,24.9,4.7
409,시금치 크림소스 감자뇨끼,24.5,15.8,37.9,43.7,24.7,49.8,13.1,35.4,51.7,0.0
410,고추장퀘사디아,39.9,35.7,72.7,30.3,105.3,32.5,60.4,75.7,66.1,2.5
411,함박스테이크,23.6,4.4,73.1,43.9,29.6,88.4,4.3,7.1,5.9,0.0
412,계란푸딩과 크레이프,43.9,31.6,60.0,73.1,40.8,233.5,14.4,62.1,16.2,0.0
414,두부스테이크,37.4,21.3,107.5,63.0,42.8,100.1,62.7,87.3,7.9,0.0
415,쥐포 간장볶음,0.7,0.9,0.6,0.1,8.8,0.0,1.7,0.2,0.6,2.3
416,골뱅이소면,28.2,30.8,56.7,10.1,123.4,50.6,42.8,23.9,85.7,0.0
417,참치주먹밥,21.0,28.7,26.8,1.1,0.5,0.0,14.4,1.1,20.2,0.0
421,명이나물 장아찌,7.7,10.7,4.7,1.0,103.6,0.0,5.7,2.3,1.1,0.0
422,고추장 떡국,46.2,49.6,64.1,24.5,119.1,23.5,26.4,14.6,22.0,0.0
423,차돌박이고추장찌개,36.0,15.6,38.8,18.2,34.4,176.7,27.5,12.5,50.5,0.0
425,참치주먹밥,21.4,21.7,44.6,12.6,16.0,102.8,3.4,8.9,0.0,0.0
429,스토로베리 요거트 아이스캔디,1.7,2.7,0.5,0.3,0.1,0.0,2.9,1.1,22.2,3.2
432,김치삼겹살말이,51.0,8.0,91.4,154.8,50.6,48.1,15.8,8.5,27.9,0.0
433,뉴텔라 케이크,23.9,19.2,27.6,43.4,13.1,101.4,4.5,29.4,0.9,0.0
434,또띠아,86.4,30.6,34.3,16.0,4.7,69.8,14.9,5.0,0.0,0.0
435,쿠키버터머그케이크,7.7,8.2,9.5,4.5,7.2,2.2,3.6,18.4,0.6,0.0
437,딸기타르트,36.3,22.3,25.2,83.7,13.5,140.8,14.2,23.1,23.8,3.9
445,플로랑댕 아망드,35.3,23.4,26.3,77.9,7.3,22.0,26.3,15.7,0.5,0.0
446,치즈케이크,8.0,4.8,9.0,16.7,9.4,38.1,0.3,10.4,0.2,0.0
447,야채피클,4.2,6.2,2.1,0.7,0.3,0.0,8.2,2.5,42.8,0.0
449,콩나물밥 ,4.3,3.7,19.7,4.0,117.7,0.0,23.6,14.7,18.9,0.0
450,아보카도 망고 롤리팝,5.2,2.3,2.1,16.9,0.2,0.0,9.8,1.0,7.3,0.0
451,캐러멜라이즈드 황설탕 자몽,17.6,19.0,6.4,24.1,5.4,12.2,17.5,14.2,128.5,0.0
452,마약김밥,22.4,25.5,17.4,22.6,77.2,0.0,15.5,6.8,12.2,0.0
454,잉글리시 머핀,9.5,9.6,10.6,7.8,13.4,3.5,7.5,1.3,0.0,0.0
455,버터롤,11.8,8.6,10.5,20.6,15.5,28.3,3.8,3.0,0.5,0.0
456,시나몬 슈거 팝콘,3.8,1.9,0.1,11.6,2.6,6.1,0.6,0.5,0.1,0.0
460,차돌박이 부추무침,14.6,3.7,45.4,31.0,36.3,17.1,8.4,5.1,20.4,0.0
461,멍게비빔밥,4.9,3.4,15.7,4.8,65.3,22.3,6.7,19.6,56.0,0.0
462,샐러드피자,22.1,19.7,34.5,16.0,28.7,13.6,49.1,44.2,24.6,2.6
463,김치그라탕,26.5,26.1,24.5,15.3,26.1,11.1,14.3,18.2,54.3,0.0
464,김치찜,20.2,8.7,69.7,37.0,271.1,31.3,56.8,40.0,61.8,0.0
465,고등어조림,21.6,7.4,68.6,36.1,55.7,46.1,20.2,15.6,20.5,0.0
467,톳두부무침,12.9,3.3,42.0,36.1,38.6,0.0,31.8,64.4,6.0,0.0
468,갈릭피뇨 파스타,41.1,41.6,36.7,61.6,99.2,0.0,146.3,16.8,67.8,15.2
