index,요리이름,칼로리,탄수화물,단백질,지질,나트륨,콜레스테롤,식이섬유,칼슘,비타민c,당류
3537,단호박닭고기알쌈,38.3,19.6,95.0,70.6,110.3,52.7,65.4,37.0,77.3,12.5
3538,떡볶이전골,34.9,21.2,63.3,61.4,160.9,49.8,29.1,27.4,8.8,4.7
3539,오븐 핫도그,19.2,14.4,40.4,23.8,22.5,79.9,10.0,18.0,0.8,0.0
3540,참치샐러드캘리포니아롤,31.4,32.8,48.8,25.6,35.5,13.6,12.7,11.5,15.8,0.0
3541,양배추피클,3.1,4.8,0.6,0.1,27.1,0.0,3.5,2.6,13.5,0.0
3542,치즈토마토뇨끼,52.8,41.1,85.0,39.7,95.7,119.8,45.4,60.8,119.9,0.0
3544,소고기날치알소보로,18.7,25.1,21.3,2.0,124.1,4.6,4.6,4.6,0.8,0.0
3545,버팔로윙,43.0,23.6,91.3,65.3,164.0,76.2,18.1,24.4,10.9,0.0
3546,돈가쓰샌드위치,51.4,40.0,79.7,58.8,28.0,102.8,31.7,11.2,12.4,0.7
3547,들깨사골순대국,24.2,23.7,20.3,35.0,22.4,2.3,21.0,26.2,13.7,0.0
3548,크랜베리스콘,8.0,8.7,2.9,9.3,10.6,4.6,5.1,7.0,0.1,20.3
3549,크로크마담,25.1,19.4,35.7,35.8,23.2,69.1,15.4,24.8,1.3,0.0
3550,메밀군 돈까스볶음밥,26.6,16.8,41.2,50.7,52.2,12.5,7.1,2.0,1.0,0.0
3551,차돌박이숙주볶음,16.2,2.1,55.6,39.3,22.0,20.4,18.3,7.3,32.8,0.0
3552,홍합어묵탕,16.1,10.5,59.8,10.5,76.0,31.5,10.2,27.9,29.2,0.0
3553,해물찜닭,5.3,3.3,25.5,2.0,13.2,33.5,11.6,10.4,25.5,0.0
3554,차돌박이 김치찌개,20.0,4.8,82.8,37.1,96.2,25.8,32.6,34.8,30.7,0.0
3555,바지락술찜,15.4,6.3,53.8,5.2,37.3,44.0,17.0,31.2,52.5,0.0
3556,알배추 배 겉절이,8.2,7.7,6.3,13.4,57.3,8.9,18.7,5.0,8.1,0.0
3557,두부조림,13.2,4.8,41.6,29.1,77.1,0.1,26.3,41.3,7.7,0.0
3558,어묵잔치국수,9.0,4.0,21.7,18.2,90.1,56.7,8.7,18.5,8.2,0.0
3559, 삼겹살찜,19.8,3.3,43.6,58.8,59.9,18.4,19.0,7.5,12.8,0.0
3560,바지락우동,22.7,21.0,59.7,5.8,52.6,41.4,11.8,25.7,5.7,0.0
3561,감귤달걀샐러드,10.8,7.1,18.4,19.9,28.0,99.8,10.8,8.7,41.9,16.9
3562,오징어숙회,9.5,4.0,45.9,7.4,37.1,89.4,6.1,7.7,22.1,0.0
3563,파니니,12.8,8.9,22.2,12.5,15.8,12.3,10.0,28.4,20.5,0.0
3565,육회초밥,7.7,7.6,3.6,11.3,77.5,0.0,5.0,3.0,1.6,4.7
3566,콘샐러드,15.0,4.4,1.4,52.2,11.2,12.0,0.2,1.3,3.8,0.0
3567,피자모닝빵,25.2,18.2,26.8,19.6,52.1,12.3,20.5,7.8,15.2,0.0
3568,아스파라거스볶음,1.3,1.5,1.9,0.6,27.1,0.0,0.3,1.3,0.6,0.0
3569,피망조림,4.0,4.3,4.8,4.6,44.3,0.0,11.2,7.3,114.4,9.4
3572,간장쪽갈비,27.9,6.3,72.7,68.4,79.5,46.0,8.7,10.9,15.9,0.0
3573,레몬머랭파이,44.9,37.7,24.3,76.6,23.8,178.6,5.0,10.0,13.3,0.0
3574,미트볼스파게티,28.2,32.8,35.1,6.8,112.5,6.3,27.7,22.9,18.2,0.0
3575,포장마차계란말이,17.0,8.4,33.1,32.3,49.5,213.5,0.0,10.1,1.3,0.0
3576,핫도그피자빵,22.0,8.8,37.6,45.5,57.2,28.6,7.9,26.9,0.1,0.0
3577,치즈감자,30.2,16.2,53.9,32.9,61.9,32.4,16.6,70.5,61.6,0.0
3578,고추참치치즈밥,41.5,36.7,69.4,27.6,69.8,42.7,9.7,60.3,3.2,0.0
3580,부대볶음,43.4,18.5,55.7,34.3,137.5,78.9,43.0,20.7,64.2,0.0
3581,만두피국수볶음,33.3,25.3,43.5,23.2,58.1,77.1,32.3,13.4,57.6,7.0
3582,고구마찐빵,24.5,36.0,10.5,1.6,3.1,0.0,36.2,13.8,89.9,0.0
3583,버터밀크비스킷,13.4,11.3,8.5,21.3,34.6,22.7,3.8,20.5,0.2,0.0
3584,버터팽이버섯덮밥,34.4,24.6,29.8,43.6,54.1,26.2,15.3,6.1,16.1,0.0
3585,수플레치즈케이크,29.3,15.8,23.0,72.4,18.3,119.0,1.4,14.7,1.5,0.0
3587,양념계란찜,27.5,8.4,66.0,70.1,99.4,165.1,30.7,26.2,16.4,0.0
3588,팬케이크덕,18.6,13.9,29.6,28.5,41.9,14.6,17.2,35.1,123.1,0.0
3589,후추소스닭날개,25.3,10.1,60.4,49.6,12.5,63.3,13.8,6.2,14.8,0.0
3590,대만지파이,18.9,5.7,97.3,17.6,16.2,95.2,4.9,19.6,3.5,0.0
3591,몬테크리스토 샌드위치,21.4,16.5,39.9,26.8,46.5,112.3,12.1,20.1,2.3,0.0
3593,짜장떡볶이,66.2,51.8,79.6,104.6,197.1,57.1,41.9,14.2,22.1,4.7
3594,명란카스테라계란찜,7.4,2.2,20.3,15.2,7.3,149.6,0.0,5.8,0.6,0.0
3595,불닭볶음면,52.6,7.1,43.7,60.9,8.8,44.6,12.1,11.2,22.8,0.0
3596,멸치비빔국수,20.9,24.5,14.8,10.4,88.3,0.0,9.9,1.4,0.0,0.0
3597,오징어채무침,6.4,3.8,12.0,11.7,23.2,1.2,2.5,1.7,1.5,0.0
3599,오삼제육볶음덮밥,31.5,27.0,81.0,23.5,52.7,102.5,12.1,7.3,4.4,3.1
3601,건빵볶음,18.9,12.9,9.9,41.7,16.7,0.3,8.7,3.5,0.0,0.0
3602,해산물 토마토수프,11.7,8.7,40.4,14.1,58.6,27.6,48.2,25.5,41.5,6.5
3604,바지락죽,16.6,15.3,54.3,4.6,58.0,41.4,7.6,28.9,12.7,0.0
3605,주꾸미칼국수,10.2,5.1,50.1,4.0,71.1,91.8,2.6,19.1,2.5,0.0
3607,닭꼬치,3.6,3.2,4.9,3.4,31.0,1.8,2.9,8.4,1.7,0.0
3608,시저샐러드,18.7,6.3,21.4,35.7,29.6,14.5,9.0,18.9,20.5,0.0
3609,올리브크림수제비,32.2,7.5,40.3,72.4,50.9,34.9,12.1,55.6,59.0,0.0
3611,오징어콩나물찜 ,14.8,6.1,73.2,12.3,37.0,146.7,14.8,32.3,12.6,0.0
3612,갈릭토스트 카프레제샐러드,8.9,9.2,7.7,10.9,8.3,0.0,11.7,3.2,23.1,0.0
3613,쇠고기미역들깨죽,13.4,11.1,22.0,17.4,35.5,6.1,2.7,3.3,0.8,0.0
3614,소보로계란밥,26.1,7.5,61.2,49.6,143.2,132.8,7.4,18.5,14.5,0.0
3615,오꼬노미야끼치킨 ,18.6,13.7,64.9,10.5,26.2,33.1,8.7,5.8,3.1,0.0
3618,마요네즈주먹밥,4.2,0.6,2.1,15.8,16.2,4.4,0.0,0.5,0.1,0.0
3619,두부빈대떡,7.9,4.3,25.5,12.6,41.5,50.0,12.5,16.4,6.9,0.0
3621,캘리포니아롤,28.4,26.0,24.3,43.3,42.8,12.8,10.7,18.7,40.8,0.0
3622,오이달걀샌드위치,32.5,20.9,35.8,66.2,34.3,109.6,25.4,13.1,23.1,0.0
3623,김치맛살무침,5.9,1.8,7.5,17.2,16.2,5.9,1.5,12.7,1.6,0.0
3624,멸치볶음,5.0,1.8,17.3,8.5,8.8,37.1,2.8,28.0,2.5,0.3
3625,돼지목살스테이크,30.4,10.7,84.7,59.0,43.6,44.8,12.8,6.1,49.9,0.0
3627,참치부르스케타,27.1,22.2,36.9,36.7,17.0,14.1,20.8,8.7,20.9,0.0
3628,김치감자전,5.2,6.8,9.1,0.6,0.6,0.0,12.6,2.5,63.4,0.0
3629,문경새재 고추장불고기,30.1,3.5,50.9,94.8,51.6,27.5,7.3,4.0,2.2,0.0
3630,훈제오리또띠아쌈,19.9,22.0,18.7,19.3,30.2,0.7,47.0,21.5,133.3,2.5
3631,춘장가지양파볶음,11.7,6.7,8.0,31.7,0.3,0.3,18.7,7.4,21.3,0.0
3632,물국수,24.7,26.1,31.2,14.7,118.0,70.3,16.9,13.3,7.3,0.0
3633,닭가슴살버섯샐러드,11.5,4.6,30.6,20.8,31.4,14.1,10.8,4.2,26.6,4.7
3634,춘권피말이,13.0,5.5,20.5,21.5,21.1,18.8,1.6,31.7,0.0,0.0
3636,고등어무조림,11.8,5.6,37.0,18.7,50.0,23.1,16.9,10.7,21.7,0.0
3639,무생채,2.6,2.0,1.4,6.0,0.4,0.0,4.9,4.6,10.8,0.0
3640,오징어꽈리고추볶음,15.8,7.5,71.0,14.8,41.4,133.8,27.9,8.0,40.3,0.0
3641,요거트스무디,16.5,24.1,11.3,5.3,1.3,2.3,35.2,26.4,78.1,0.0
3642,노오븐 채소피자,24.4,17.9,38.7,23.5,32.4,21.1,35.3,62.0,139.7,1.2
